stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,stop_timezone,location_type,parent_station
ROME2365,72948,"Vigne/Vigna Girelli","20 M. DOPO CIVICO 147",41.842098,12.421651,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2366,72949,"Vigne/Fosso Della Torretta","5 M. DOPO VIA S.GIOVANNI D'ASSO FRONTE CIVICO 96",41.840347,12.421976,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2367,72953,"Monte Delle Piche","",41.833973,12.421385,"",,,
ROME2368,72954,"Vigne/Rifredi","",41.836109,12.421445,"",,,
ROME2369,72955,"Vigne/Chiusdino","",41.837116,12.421797,"",,,
ROME2370,72956,"Vigne/Generosa","35 M. DOPO VIA DI GENEROSA ALTEZZA CIVICO 86/B",41.839287,12.422614,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2371,72957,"Vigne/Fosso Della Torretta","30 M.PRIMA SBOCCO VIA DEL FOSSO DELLA TORRETTA DOPO CIV.98/A",41.840759,12.421991,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2372,72958,"Vigne/Vigna Girelli","",41.842690,12.422108,"",,,
ROME2373,72959,"Vigna Girelli","",41.841911,12.426460,"",,,
ROME2374,72960,"Monte Capre/Orti Magliana","",41.844875,12.429507,"",,,
ROME2375,72961,"Monte Capre","",41.844814,12.433112,"",,,
ROME2376,72962,"Trullo/Vigna Consorti","20 M. DOPO SBOCCO VIA VIGNA CONSORTI ALT.CIV.213",41.845886,12.436138,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2377,72963,"Trullo/Lamporecchio","30 M. PRIMA VIA LAMPORECCHIO PRIMA CIVICO 125",41.848900,12.436048,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2378,72965,"Balduina/Bitossi","",41.926552,12.440902,"",,,
ROME2379,72966,"Portuense/Villa Flora","70 M. DOPO VIA L.KOSSUTH ALTEZZA CIVICO 579",41.855232,12.444789,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2380,72967,"Portuense/La Loggia","",41.856804,12.446752,"",,,
ROME2381,72968,"Portuense/Imbrecciato","",41.857800,12.447657,"",,,
ROME2382,72969,"Portuense/Venturi P.","",41.859398,12.450913,"",,,
ROME2383,72970,"Portuense/Ramazzini","",41.861504,12.452428,"",,,
ROME2384,72971,"Portuense/Forlanini","",41.863174,12.454425,"",,,
ROME2385,72972,"Folchi/Portuense","60 M. DOPO VIA PORTUENSE",41.864662,12.455751,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2386,72973,"Folchi/Spallanzani","35 M. DOPO CIVICO 6/B",41.866653,12.454386,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2387,72975,"Ramazzini/Gianicolense","70 M. PRIMA C.NE GIANICOLENSE",41.869396,12.452812,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2392,72981,"Radicofani/Monte S. Savino","7 M. DOPO CIVICO 100",41.976906,12.510418,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2393,72982,"Radicofani/S. Gennaro","10 M. PRIMA SBOCCO VIA S.GENNARO ALT.CIVICO 130/D",41.975857,12.511651,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2394,72983,"P.za Venezia","",41.894958,12.481765,"",,,
ROME2395,72984,"Radicofani/S. Gimignano","25 M. DOPO VIA S.GIMIGNANO ALTEZZA CIVICO 166/A",41.974712,12.513198,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2396,72985,"Massimi","",41.926983,12.444743,"",,,
ROME2397,72988,"Staz.ne Metro Cipro/Emo","",41.906757,12.448278,"",,,
