stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
ROME1548,71894,Clauzetto,"40 M. PRIMA VIA S.DANIELE DEL FRIULI",41.995628,12.481056,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1549,71896,Gemona/Arta Terme,"30 M. DOPO SBOCCO VIA ARTA TERME",41.993870,12.489183,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1553,71900,Fiesse,"50 M. DOPO VIA NOVIGLIO - CAPOLINEA 037",41.992901,12.490707,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1555,71903,Gemona/Baccano,"80 M. DOPO VIA BACCANO",41.993820,12.490640,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1556,71904,Gemona/Arte Terme,"40 M. DOPO VIA ARTA TERME",41.994469,12.488230,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1573,71923,S. Daniele Del Friuli,"ROTATORIA 150 M. PRIMA VIA CLAUZETTO",41.996536,12.482330,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1574,71924,Magnano In Riviera,"30 M. DOPO VIA CLAUZETTO",41.995029,12.480512,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1576,71926,Gemona/Valbondione,"100 M. DOPO VIA VALBONDIONE",41.993675,12.479757,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1578,71928,S. Rita Da Cascia/Baldrighi,"30 M. PRIMA SBOCCO VIA G.BALDRIGHI PRIMA FRONTE CIVICO 20",41.867443,12.646206,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1580,71930,Salemi/Baldrighi,"55 M.DOPO VIA G.BALDRIGHI PRIMA CIVICO 105",41.867577,12.648950,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1582,71932,Salemi/De Ferrari,"50 M.PRIMA VIA R.DE FERRARI PRIMA FRONTE CIVICO 50",41.865650,12.652048,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1584,71934,Partanna/Pozzallo,"20 M. DOPO SBOCCO VIA POZZALLO PRIMA FRONTE CIV.48",41.866600,12.653908,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1585,71935,Partanna/Valledolmo,"25 M. DOPO VIA VALLEDOLMO PRIMA CIVICO 102",41.867985,12.655577,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1587,71937,Fontana Candida,"50 M. PRIMA VIA BUSCEMI PRIMA FRONTE CIVICO 54",41.866940,12.657724,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1588,71938,Siculiana/Pettineo,"75 M. DOPO VIA PETTINEO PRIMA CIVICO 80",41.868813,12.656917,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1589,71939,Siculiana/Termini Imerese,"30 M.DOPO VIA TERMINI IMERESE PR.CIV.132",41.870262,12.655102,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1590,71941,Siculiana/Ispica,"30 M. PRIMA SBOCCO VIA ISPICA DOPO CIVICO 185",41.874882,12.651526,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1591,71942,Siculiana,"45 M. DOPO VIA SANT'ALFIO",41.876301,12.650510,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1592,71945,Gemona/Lusevera,"20 M. DOPO VIA LUSEVERA",41.993080,12.482385,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1593,71946,Gemona/Monti Valchetta,"10 M. PRIMA VIA MASTRO GABRIELLO",41.993931,12.485049,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1595,71949,Monti Valchetta,"50 M.DOPO VIA BREMBIO",41.995384,12.485568,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1621,72001,Buozzi/Monti Parioli,"40 M. DOPO SBOCCO VIA MONTI PARIOLI ALTEZZA CIVICO 113",41.919132,12.478433,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1629,72011,Fuoco Sacro,"20 M. DOPO SBOCCO VIA CALO ERBA DOPO CIV. 104",41.865334,12.642623,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1630,72012,Acquaroni/Fuoco Sacro,"45 M. DOPO SBOCCO VIA DEL FUOCO SACRO FRONTE CIV. 66",41.866379,12.643759,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1631,72013,Civinini F./Gastaldi B.,"5 M. PRIMA VIA C. MAJOLI",41.923756,12.481265,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1633,72015,Civinini/Euclide,"25 M. PRIMA DI PZA EUCLIDE ALTEZZA CIVICO 84",41.926395,12.481413,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
