route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
283,OP2,088F,,3,http://muovi.roma.it/percorso/js?query=088F&cl=1,,
4457,OP2,040F,,3,http://muovi.roma.it/percorso/js?query=040F&cl=1,,
1981,OP2,912,,3,http://muovi.roma.it/percorso/js?query=912&cl=1,,
291,OP2,985,,3,http://muovi.roma.it/percorso/js?query=985&cl=1,,
15,OP2,721,,3,http://muovi.roma.it/percorso/js?query=721&cl=1,,
302,OP2,767,,3,http://muovi.roma.it/percorso/js?query=767&cl=1,,
238,OP2,08,,3,http://muovi.roma.it/percorso/js?query=08&cl=1,,
17,OP2,022,,3,http://muovi.roma.it/percorso/js?query=022&cl=1,,
2146,OP2,226,,3,http://muovi.roma.it/percorso/js?query=226&cl=1,,
256,OP2,777,,3,http://muovi.roma.it/percorso/js?query=777&cl=1,,
306,OP2,339,,3,http://muovi.roma.it/percorso/js?query=339&cl=1,,
307,OP2,349,,3,http://muovi.roma.it/percorso/js?query=349&cl=1,,
2377,OP2,998,,3,http://muovi.roma.it/percorso/js?query=998&cl=1,,
18,OP2,999,,3,http://muovi.roma.it/percorso/js?query=999&cl=1,,
22,OP2,213,,3,http://muovi.roma.it/percorso/js?query=213&cl=1,,
316,OP2,548,,3,http://muovi.roma.it/percorso/js?query=548&cl=1,,
317,OP2,057,,3,http://muovi.roma.it/percorso/js?query=057&cl=1,,
3169,OP2,218,,3,http://muovi.roma.it/percorso/js?query=218&cl=1,,
4126,OP2,702,,3,http://muovi.roma.it/percorso/js?query=702&cl=1,,
321,OP2,445,,3,http://muovi.roma.it/percorso/js?query=445&cl=1,,
322,OP2,992,,3,http://muovi.roma.it/percorso/js?query=992&cl=1,,
324,OP2,055,,3,http://muovi.roma.it/percorso/js?query=055&cl=1,,
327,OP2,892,,3,http://muovi.roma.it/percorso/js?query=892&cl=1,,
328,OP2,993,,3,http://muovi.roma.it/percorso/js?query=993&cl=1,,
332,OP2,444,,3,http://muovi.roma.it/percorso/js?query=444&cl=1,,
595,OP2,763,,3,http://muovi.roma.it/percorso/js?query=763&cl=1,,
4458,OP2,040,,3,http://muovi.roma.it/percorso/js?query=040&cl=1,,
359,OP2,701,,3,http://muovi.roma.it/percorso/js?query=701&cl=1,,
346,OP2,056,,3,http://muovi.roma.it/percorso/js?query=056&cl=1,,
5347,OP2,763L,,3,http://muovi.roma.it/percorso/js?query=763L&cl=1,,
4225,OP2,907,,3,http://muovi.roma.it/percorso/js?query=907&cl=1,,
1490,OP2,031,,3,http://muovi.roma.it/percorso/js?query=031&cl=1,,
330,OP2,C8,,3,http://muovi.roma.it/percorso/js?query=C8&cl=1,,
25,OP2,081,,3,http://muovi.roma.it/percorso/js?query=081&cl=1,,
629,OP2,711,,3,http://muovi.roma.it/percorso/js?query=711&cl=1,,
1024,OP2,049,,3,http://muovi.roma.it/percorso/js?query=049&cl=1,,
1489,OP2,078,,3,http://muovi.roma.it/percorso/js?query=078&cl=1,,
1816,OP2,502,,3,http://muovi.roma.it/percorso/js?query=502&cl=1,,
2014,OP2,660,,3,http://muovi.roma.it/percorso/js?query=660&cl=1,,
1916,OP2,503,,3,http://muovi.roma.it/percorso/js?query=503&cl=1,,
2509,OP2,340,,3,http://muovi.roma.it/percorso/js?query=340&cl=1,,
1157,OP2,042,,3,http://muovi.roma.it/percorso/js?query=042&cl=1,,
3666,OP2,555,,3,http://muovi.roma.it/percorso/js?query=555&cl=1,,
26,OP2,552,,3,http://muovi.roma.it/percorso/js?query=552&cl=1,,
27,OP2,789,,3,http://muovi.roma.it/percorso/js?query=789&cl=1,,
1354,OP2,789F,,3,http://muovi.roma.it/percorso/js?query=789F&cl=1,,
297,OP2,982,,3,http://muovi.roma.it/percorso/js?query=982&cl=1,,
1488,OP2,404,,3,http://muovi.roma.it/percorso/js?query=404&cl=1,,
1817,OP2,557,,3,http://muovi.roma.it/percorso/js?query=557&cl=1,,
343,OP2,011,,3,http://muovi.roma.it/percorso/js?query=011&cl=1,,
28,OP2,018,,3,http://muovi.roma.it/percorso/js?query=018&cl=1,,
296,OP2,447,,3,http://muovi.roma.it/percorso/js?query=447&cl=1,,
279,OP2,135,,3,http://muovi.roma.it/percorso/js?query=135&cl=1,,
35,OP2,441,,3,http://muovi.roma.it/percorso/js?query=441&cl=1,,
2147,OP2,908,,3,http://muovi.roma.it/percorso/js?query=908&cl=1,,
251,OP2,066,,3,http://muovi.roma.it/percorso/js?query=066&cl=1,,
