service_id,date,exception_type
1#29,20220530,1
1#32,20220530,1
1#38,20220530,1
1#42,20220530,1
1#47,20220530,1
1#48,20220530,1
1#49,20220530,1
1#50,20220530,1
1#55,20220530,1
1#56,20220530,1
1#58,20220530,1
1#62,20220530,1
1#67,20220530,1
1#73,20220530,1
1#79,20220530,1
1#85,20220530,1
1#6,20220531,1
1#8,20220531,1
1#11,20220531,1
1#18,20220531,1
1#21,20220531,1
1#23,20220531,1
1#24,20220531,1
1#25,20220531,1
1#26,20220531,1
1#28,20220531,1
1#29,20220531,1
1#32,20220531,1
1#38,20220531,1
1#42,20220531,1
1#47,20220531,1
1#48,20220531,1
1#49,20220531,1
1#50,20220531,1
1#55,20220531,1
1#56,20220531,1
1#58,20220531,1
1#62,20220531,1
1#67,20220531,1
1#74,20220531,1
1#79,20220531,1
1#85,20220531,1
1#6,20220601,1
1#8,20220601,1
1#11,20220601,1
1#18,20220601,1
1#21,20220601,1
1#23,20220601,1
1#24,20220601,1
1#25,20220601,1
1#26,20220601,1
1#28,20220601,1
1#29,20220601,1
1#32,20220601,1
1#38,20220601,1
1#42,20220601,1
1#47,20220601,1
1#48,20220601,1
1#49,20220601,1
1#50,20220601,1
1#55,20220601,1
1#56,20220601,1
1#58,20220601,1
1#62,20220601,1
1#67,20220601,1
1#74,20220601,1
1#79,20220601,1
1#85,20220601,1
0#2,20220425,1
0#2-4857,20220425,1
0#2-4858,20220425,1
0#2-4859,20220425,1
0#2-4860,20220425,1
0#2-4861,20220425,1
0#13,20220425,1
0#13-4765,20220425,1
0#13-4766,20220425,1
0#13-4767,20220425,1
0#13-4768,20220425,1
0#13-4769,20220425,1
0#13-4770,20220425,1
0#13-4771,20220425,1
0#13-4772,20220425,1
0#13-4773,20220425,1
0#13-4774,20220425,1
0#13-4775,20220425,1
0#13-4776,20220425,1
0#13-4777,20220425,1
0#13-4778,20220425,1
0#13-4779,20220425,1
0#13-4780,20220425,1
0#13-4781,20220425,1
0#13-4782,20220425,1
0#13-4783,20220425,1
0#13-4784,20220425,1
0#13-4785,20220425,1
0#13-4794,20220425,1
0#13-4795,20220425,1
0#13-4796,20220425,1
0#13-4801,20220425,1
0#13-4802,20220425,1
0#13-4803,20220425,1
0#13-4804,20220425,1
0#13-4805,20220425,1
0#13-4806,20220425,1
0#13-4807,20220425,1
0#13-4808,20220425,1
0#13-4809,20220425,1
0#13-4810,20220425,1
0#13-4811,20220425,1
0#13-4812,20220425,1
0#13-4813,20220425,1
0#13-4814,20220425,1
0#13-4815,20220425,1
0#13-4816,20220425,1
0#13-4817,20220425,1
0#13-4818,20220425,1
0#13-4821,20220425,1
0#13-4822,20220425,1
0#13-4823,20220425,1
0#13-4824,20220425,1
0#13-4825,20220425,1
0#13-4826,20220425,1
0#13-4829,20220425,1
0#13-4830,20220425,1
0#13-4831,20220425,1
0#13-4832,20220425,1
0#13-4833,20220425,1
0#13-4834,20220425,1
0#13-4835,20220425,1
0#13-4836,20220425,1
0#13-4837,20220425,1
0#13-4838,20220425,1
0#13-4839,20220425,1
0#13-4840,20220425,1
0#13-4841,20220425,1
0#13-4842,20220425,1
0#13-4843,20220425,1
0#13-4844,20220425,1
0#13-4845,20220425,1
0#13-4846,20220425,1
0#13-4847,20220425,1
0#13-4848,20220425,1
0#13-4849,20220425,1
0#13-4850,20220425,1
0#13-4851,20220425,1
0#13-4852,20220425,1
0#13-4862,20220425,1
0#13-4863,20220425,1
0#13-4864,20220425,1
0#13-4865,20220425,1
0#13-4866,20220425,1
0#13-4867,20220425,1
0#13-4868,20220425,1
0#13-4869,20220425,1
0#13-4870,20220425,1
0#13-4871,20220425,1
0#13-4872,20220425,1
0#13-4873,20220425,1
0#13-4874,20220425,1
0#13-4875,20220425,1
0#13-4876,20220425,1
0#13-4877,20220425,1
0#13-4878,20220425,1
0#13-4879,20220425,1
0#13-4880,20220425,1
0#13-4881,20220425,1
0#13-4882,20220425,1
0#13-4890,20220425,1
0#13-4891,20220425,1
0#13-4892,20220425,1
0#13-4893,20220425,1
0#13-4894,20220425,1
0#13-4895,20220425,1
0#13-4896,20220425,1
0#13-4897,20220425,1
0#13-4898,20220425,1
0#13-4899,20220425,1
0#13-4900,20220425,1
0#13-4901,20220425,1
0#13-4902,20220425,1
0#13-4903,20220425,1
0#13-4904,20220425,1
0#13-4905,20220425,1
0#13-4906,20220425,1
0#15,20220425,1
0#15-4855,20220425,1
0#15-4856,20220425,1
0#16,20220425,1
0#17,20220425,1
0#18,20220425,1
0#23,20220425,1
0#32,20220425,1
0#33,20220425,1
0#33-4797,20220425,1
0#33-4798,20220425,1
0#33-4799,20220425,1
0#33-4800,20220425,1
0#34,20220425,1
0#34-4886,20220425,1
0#35,20220425,1
0#37,20220425,1
0#41,20220425,1
0#44,20220425,1
0#44-4786,20220425,1
0#45,20220425,1
0#47,20220425,1
0#50,20220425,1
0#53,20220425,1
0#60,20220425,1
0#69,20220425,1
0#74,20220425,1
0#75,20220425,1
0#80,20220425,1
0#80-4853,20220425,1
0#80-4854,20220425,1
0#80-4883,20220425,1
0#80-4884,20220425,1
0#80-4887,20220425,1
0#80-4888,20220425,1
0#80-4889,20220425,1
0#81,20220425,1
0#81-4885,20220425,1
0#89,20220425,1
0#89-4787,20220425,1
0#89-4788,20220425,1
0#89-4789,20220425,1
0#89-4790,20220425,1
0#89-4791,20220425,1
0#89-4792,20220425,1
0#89-4793,20220425,1
0#89-4819,20220425,1
0#89-4820,20220425,1
0#89-4827,20220425,1
0#89-4828,20220425,1
0#6,20220426,1
0#8,20220426,1
0#8-4970,20220426,1
0#8-4971,20220426,1
0#8-4972,20220426,1
0#8-4973,20220426,1
0#8-4974,20220426,1
0#8-4975,20220426,1
0#8-4976,20220426,1
0#8-5131,20220426,1
0#8-5132,20220426,1
0#11,20220426,1
0#19,20220426,1
0#19-4907,20220426,1
0#19-4908,20220426,1
0#19-4909,20220426,1
0#19-4910,20220426,1
0#19-4911,20220426,1
0#19-4912,20220426,1
0#19-4913,20220426,1
0#19-4914,20220426,1
0#19-4915,20220426,1
0#19-4916,20220426,1
0#19-4917,20220426,1
0#19-4918,20220426,1
0#19-4919,20220426,1
0#19-4920,20220426,1
0#19-4921,20220426,1
0#19-4922,20220426,1
0#19-4923,20220426,1
0#19-4924,20220426,1
0#19-4925,20220426,1
0#19-4926,20220426,1
0#19-4927,20220426,1
0#19-4935,20220426,1
0#19-4936,20220426,1
0#19-4937,20220426,1
0#19-4938,20220426,1
0#19-4939,20220426,1
0#19-4940,20220426,1
0#19-4948,20220426,1
0#19-4949,20220426,1
0#19-4950,20220426,1
0#19-4951,20220426,1
0#19-4952,20220426,1
0#19-4953,20220426,1
0#19-4954,20220426,1
0#19-4955,20220426,1
0#19-4956,20220426,1
0#19-4957,20220426,1
0#19-4958,20220426,1
0#19-4959,20220426,1
0#19-4960,20220426,1
0#19-4961,20220426,1
0#19-4962,20220426,1
0#19-4977,20220426,1
0#19-4978,20220426,1
0#19-4979,20220426,1
0#19-4980,20220426,1
0#19-4981,20220426,1
0#19-4982,20220426,1
0#19-4983,20220426,1
0#19-4984,20220426,1
0#19-4985,20220426,1
0#19-4986,20220426,1
0#19-4987,20220426,1
0#19-4988,20220426,1
0#19-4989,20220426,1
0#19-4990,20220426,1
0#19-4991,20220426,1
0#19-4992,20220426,1
0#19-4993,20220426,1
0#19-4994,20220426,1
0#19-4995,20220426,1
0#19-4996,20220426,1
0#19-4997,20220426,1
0#19-4998,20220426,1
0#19-5005,20220426,1
0#19-5008,20220426,1
0#19-5009,20220426,1
0#19-5010,20220426,1
0#19-5011,20220426,1
0#19-5012,20220426,1
0#19-5013,20220426,1
0#19-5014,20220426,1
0#19-5015,20220426,1
0#19-5016,20220426,1
0#19-5017,20220426,1
0#19-5018,20220426,1
0#19-5019,20220426,1
0#19-5020,20220426,1
0#19-5021,20220426,1
0#19-5022,20220426,1
0#19-5023,20220426,1
0#19-5024,20220426,1
0#19-5025,20220426,1
0#19-5026,20220426,1
0#19-5027,20220426,1
0#19-5028,20220426,1
0#19-5031,20220426,1
0#19-5032,20220426,1
0#19-5033,20220426,1
0#19-5034,20220426,1
0#19-5035,20220426,1
0#19-5036,20220426,1
0#19-5037,20220426,1
0#19-5038,20220426,1
0#19-5039,20220426,1
0#19-5040,20220426,1
0#19-5041,20220426,1
0#19-5042,20220426,1
0#19-5043,20220426,1
0#19-5044,20220426,1
0#19-5045,20220426,1
0#19-5046,20220426,1
0#19-5047,20220426,1
0#19-5048,20220426,1
0#19-5049,20220426,1
0#19-5050,20220426,1
0#19-5051,20220426,1
0#19-5052,20220426,1
0#19-5053,20220426,1
0#19-5054,20220426,1
0#19-5055,20220426,1
0#19-5056,20220426,1
0#19-5057,20220426,1
0#19-5058,20220426,1
0#19-5059,20220426,1
0#19-5060,20220426,1
0#19-5061,20220426,1
0#19-5062,20220426,1
0#19-5063,20220426,1
0#19-5064,20220426,1
0#19-5065,20220426,1
0#19-5066,20220426,1
0#19-5067,20220426,1
0#19-5068,20220426,1
0#19-5069,20220426,1
0#19-5070,20220426,1
0#19-5071,20220426,1
0#19-5072,20220426,1
0#19-5073,20220426,1
0#19-5074,20220426,1
0#19-5075,20220426,1
0#19-5076,20220426,1
0#19-5077,20220426,1
0#19-5078,20220426,1
0#19-5079,20220426,1
0#19-5080,20220426,1
0#19-5081,20220426,1
0#19-5082,20220426,1
0#19-5083,20220426,1
0#19-5084,20220426,1
0#19-5085,20220426,1
0#19-5086,20220426,1
0#19-5087,20220426,1
0#19-5088,20220426,1
0#19-5089,20220426,1
0#19-5090,20220426,1
0#19-5091,20220426,1
0#19-5092,20220426,1
0#19-5093,20220426,1
0#19-5094,20220426,1
0#19-5095,20220426,1
0#19-5096,20220426,1
0#19-5101,20220426,1
0#19-5104,20220426,1
0#19-5105,20220426,1
0#19-5106,20220426,1
0#19-5107,20220426,1
0#19-5108,20220426,1
0#19-5109,20220426,1
0#19-5110,20220426,1
0#19-5111,20220426,1
0#19-5112,20220426,1
0#19-5113,20220426,1
0#19-5114,20220426,1
0#19-5115,20220426,1
0#19-5116,20220426,1
